# M15 weight reference (2026-04-24 v7 shipped)
# Source of truth: slot_designer/weights/M15/mode_<N>/weights.json
# This CSV is a hand-maintained snapshot for designer copy-paste. Re-export after weight edits.

# ==================================================
# Section A: machine-level summary (analytic, v7)
# ==================================================

Metric,mode_1,mode_2,mode_5,mode_7
Total RTP (%),95.21,300.84,502.05,84.77
Base RTP (pp),42.95,135.07,135.07,32.60
Feature RTP (pp),52.26,165.78,366.98,52.17
Base hit rate (%),13.17,22.56,22.56,12.46
Per-hit avg win (x),3.26,5.99,5.99,2.62
Feature trigger (%),1.14,2.75,2.76,1.14
Feature EV (x),46.00,60.00,132.81,46.00
Accept rate per round (%),23.5,35.4,67.7,23.5
P(session R>=1000) per paid spin (1 in X),4770249,333144,7607861,4777754

# ==================================================
# Section B: reel strips (shared) + per-mode weights
# ==================================================
# Strips are BYTE-IDENTICAL across all modes (project_slot_designer_strips_identical_across_modes.md).
# Only weights differ per mode.

Reel,Position,Symbol,mode_1 weight,mode_2 weight,mode_5 weight,mode_7 weight
2,17,1bar,88,101,101,86
2,18,blank,26,21,21,24
2,19,2bar,46,54,54,42
2,20,blank,26,21,21,24
2,21,3bar,4,17,17,1
2,22,blank,26,21,21,24
2,23,cherry,4,16,16,7
2,24,blank,26,21,21,24
2,25,1bar,88,101,101,86
2,26,blank,26,21,21,24
2,27,3bar,4,17,17,1
2,28,blank,26,21,21,24
2,29,2bar,46,54,54,42
2,30,blank,26,21,21,24
2,31,jackpot,2,2,2,12
2,32,blank,26,21,21,24
2,33,high7,59,20,20,57
2,34,blank,26,21,21,24
2,35,doublediamond,18,10,10,6

3,0,blank,26,19,19,24
3,1,3bar,1,15,15,2
3,2,blank,35,32,32,36
3,3,cherry,13,13,13,12
3,4,blank,35,32,32,36
3,5,2bar,25,47,47,14
3,6,blank,35,32,32,36
3,7,topdollar,6.44044,19,19,6
3,8,blank,35,32,32,36
3,9,1bar,97,98,98,87
3,10,blank,35,32,32,36
3,11,high7,32,28,28,25
3,12,blank,35,32,32,36
3,13,3bar,1,16,16,2
3,14,blank,35,32,32,36
3,15,doublediamond,1,134,134,17
3,16,blank,35,32,32,36
3,17,2bar,25,46,46,12
3,18,blank,35,32,32,36
3,19,1bar,94,96,96,84
3,20,blank,35,32,32,36
3,21,3bar,1,16,16,2
3,22,blank,35,32,32,36
3,23,cherry,12,12,12,12
3,24,blank,35,32,32,36
3,25,2bar,25,46,46,12
3,26,blank,35,32,32,36
3,27,topdollar,6.44044,18,18,6
3,28,blank,35,32,32,36
3,29,jackpot,21,1,1,8
3,30,blank,35,32,32,36
3,31,1bar,94,96,96,84
3,32,blank,35,32,32,36
3,33,2bar,25,46,46,12
3,34,blank,35,32,32,36
3,35,high7,33,29,29,25

# ==================================================
# Section C: Feature Play weights (per mode, raw non-normalized)
# ==================================================
# Pool alignment:
#   x_pool = (1000, 100, 50, 50, 20, 20, 10, 10, 5, 5) — 10 cards, 6 unique values
#   y_pool = (2, 2) — both cards = x2 multiplier
# x_val[V] applies to each pool slot with value V (e.g. x_val[50] applies to both 50 slots).

Knob,Description,mode_1,mode_2,mode_5,mode_7
count_x[1],抽 1 张 x (P weight),5,5,5,5
count_x[2],抽 2 张 x,40,40,40,40
count_x[3],抽 3 张 x,40,40,40,40
count_x[4],抽 4 张 x,12,12,12,12
count_x[5],抽 5 张 x,3,3,3,3
count_y[0],不抽 y (0 multiplier),75,60,40,75
count_y[1],抽 1 张 y (x2),20,30,35,20
count_y[2],抽 2 张 y (x2x2 = x4),5,10,25,5
x_val[1000],1000-card weight (applies to 1 pool slot),0.0001,0.0009,0.0001,0.0001
x_val[100],100-card weight (applies to 1 pool slot),0.0266,0.0914,4.5,0.0266
x_val[50],50-card weight (applies to 2 pool slots),0.1455,0.3687,3.5,0.1455
x_val[20],20-card weight (applies to 2 pool slots),1.3729,2.3289,7.0955,1.3729
x_val[10],10-card weight (applies to 2 pool slots),7.4998,9.3906,13.453,7.4998
x_val[5],5-card weight (applies to 2 pool slots),40.9684,37.8657,25.5065,40.9684
y_val[slot_a],y card 1 weight (both cards = x2),1,1,1,1
y_val[slot_b],y card 2 weight (both cards = x2),1,1,1,1
accept_threshold,auto-accept if R >= X,40,40,40,40
max_rounds,reroll + forced round cap,4,4,4,4

# ==================================================
# Section D: derived per-value x-card sampling probability
# (per-value weight / total weight, normalized to 6 unique values)
# ==================================================

x-card value,mode_1 P(%),mode_2 P(%),mode_5 P(%),mode_7 P(%)
1000,0.000,0.001,0.000,0.000
100,0.027,0.091,4.343,0.027
50,0.291,0.737,6.756,0.291
20,2.746,4.658,13.697,2.746
10,15.000,18.781,25.969,15.000
5,81.937,75.731,49.236,81.937

